XR,YR,TSS
304295.16,6031020.5,5.0
304295.15,6031020.58,5.0
304295.13,6031020.71,-1.0
304295.12,6031020.79,-1.0
304295.11,6031020.87,-1.0
304295.1,6031021.0,0.0
304295.09,6031021.08,0.0
304295.08,6031021.16,0.0
304295.06,6031021.29,0.0
304295.05,6031021.37,-2.0
304295.04,6031021.46,0.0
304295.02,6031021.59,0.0
304295.01,6031021.67,0.0
304294.99,6031021.76,-2.0
304294.98,6031021.88,0.0
304294.97,6031021.97,-2.0
304294.95,6031022.06,-2.0
304294.94,6031022.19,2.0
304294.93,6031022.28,1.0
304294.92,6031022.37,2.0
304294.91,6031022.49,0.0
304294.9,6031022.58,5.0
304294.9,6031022.67,-2.0
304294.89,6031022.8,-2.0
304294.88,6031022.89,-4.0
304294.87,6031022.98,-7.0
304294.86,6031023.12,-5.0
304294.85,6031023.21,-5.0
304294.84,6031023.3,-6.0
304294.82,6031023.44,6.0
304294.81,6031023.53,-1.0
304294.8,6031023.62,0.0
304294.78,6031023.76,-3.0
304294.77,6031023.85,-3.0
304294.76,6031023.95,-2.0
304294.75,6031024.08,-2.0
304294.74,6031024.18,0.0
304294.73,6031024.27,0.0
304294.72,6031024.41,-1.0
304294.71,6031024.5,0.0
304294.71,6031024.59,0.0
304294.69,6031024.73,1.0
304294.68,6031024.83,0.0
304294.68,6031024.92,0.0
304294.67,6031025.05,-5.0
304294.66,6031025.14,-1.0
304294.66,6031025.23,0.0
304294.65,6031025.37,0.0
304294.64,6031025.46,0.0
304294.63,6031025.59,13.0
304294.63,6031025.68,2.0
304294.62,6031025.77,1.0
304294.62,6031025.9,-4.0
304294.62,6031025.99,-4.0
304294.61,6031026.08,3.0
304294.61,6031026.21,-2.0
304294.61,6031026.29,0.0
304294.61,6031026.37,-2.0
304294.61,6031026.5,0.0
304294.61,6031026.58,-1.0
304294.62,6031026.66,-2.0
304294.62,6031026.77,-2.0
304294.63,6031026.85,-1.0
